drug,drug_id,drug_actif,class_medi,category
crizotinib,D09731,crizotinib,Molecular Target Inhibitors,Antineoplastics
bosutinib,D03252,bosutinib,Molecular Target Inhibitors,Antineoplastics
bosutinib hydrate,D09728,bosutinib,Molecular Target Inhibitors,Antineoplastics
dasatinib,D03658,dasatinib,Molecular Target Inhibitors,Antineoplastics
dasatinib,D06414,dasatinib,Molecular Target Inhibitors,Antineoplastics
imatinib,D08066,imatinib,Molecular Target Inhibitors,Antineoplastics
imatinib mesylate,D01441,imatinib,Molecular Target Inhibitors,Antineoplastics
nilotinib,D08953,nilotinib,Molecular Target Inhibitors,Antineoplastics
nilotinib hydrochloride hydrate,D06413,nilotinib,Molecular Target Inhibitors,Antineoplastics
ponatinib,D09950,ponatinib,Molecular Target Inhibitors,Antineoplastics
ponatinib hydrochloride,D09951,ponatinib,Molecular Target Inhibitors,Antineoplastics
lapatinib,D08108,lapatinib,Molecular Target Inhibitors,Antineoplastics
lapatinib ditosylate,D04024,lapatinib,Molecular Target Inhibitors,Antineoplastics
axitinib,D03218,axitinib,Molecular Target Inhibitors,Antineoplastics
cabozantinib,D10062,cabozantinib,Molecular Target Inhibitors,Antineoplastics
cabozantinib s-malate,D10095,cabozantinib,Molecular Target Inhibitors,Antineoplastics
pazopanib hydrochloride,D05380,pazopanib,Molecular Target Inhibitors,Antineoplastics
regorafenib,D10138,regorafenib,Molecular Target Inhibitors,Antineoplastics
regorafenib hydrate,D10137,regorafenib,Molecular Target Inhibitors,Antineoplastics
sorafenib,D08524,sorafenib,Molecular Target Inhibitors,Antineoplastics
sorafenib tosylate,D06272,sorafenib,Molecular Target Inhibitors,Antineoplastics
sunitinib,D08552,sunitinib,Molecular Target Inhibitors,Antineoplastics
sunitinib malate,D06402,sunitinib,Molecular Target Inhibitors,Antineoplastics
rituximab,D02994,rituximab,Monoclonal Antibodies,Antineoplastics
ofatumumab,D09314,ofatumumab,Monoclonal Antibodies,Antineoplastics
alitretinoin,D02815,alitretinoin,Retinoids,Antineoplastics
bexarotene,D03106,bexarotene,Retinoids,Antineoplastics
tretinoin,D00094,tretinoin,Retinoids,Antineoplastics
tretinoin tocoferil,D01516,tretinoin,Retinoids,Antineoplastics
fludarabine,D07966,fludarabine,"Antineoplastics, Other",Antineoplastics
fludarabine phosphate,D01907,fludarabine,"Antineoplastics, Other",Antineoplastics
folinic acid,D07986,leucovorin,"Antineoplastics, Other",Antineoplastics
leucovorin calcium,D01211,leucovorin,"Antineoplastics, Other",Antineoplastics
folinic acid calcium salt pentahydrate,D07987,leucovorin,"Antineoplastics, Other",Antineoplastics
mitoxantrone,D08224,mitoxantrone,"Antineoplastics, Other",Antineoplastics
mitoxantrone hydrochloride,D02166,mitoxantrone,"Antineoplastics, Other",Antineoplastics
vorinostat,D06320,vorinostat,"Antineoplastics, Other",Antineoplastics
albendazole,D00134,albendazole,Anthelmintics,Antiparasitics
albendazole oxide,D07106,albendazole,Anthelmintics,Antiparasitics
ivermectin,D00804,ivermectin,Anthelmintics,Antiparasitics
mebendazole,D00368,mebendazole,Anthelmintics,Antiparasitics
praziquantel,D00471,praziquantel,Anthelmintics,Antiparasitics
artemether - lumefantrine mixt,D02484,artemether and lumefantrine,Antiprotozoals,Antiparasitics
atovaquone - proguanil hydrochloride mixt,D02472,atovaquone and proguanil hydrochloride,Antiprotozoals,Antiparasitics
chloroquine,D02366,chloroquine,Antiprotozoals,Antiparasitics
chloroquine phosphate,D02125,chloroquine,Antiprotozoals,Antiparasitics
chloroquine hydrochloride,D03469,chloroquine,Antiprotozoals,Antiparasitics
chloroquine sulfate,D07680,chloroquine,Antiprotozoals,Antiparasitics
hydroxychloroquine,D08050,hydroxychloroquine,Antiprotozoals,Antiparasitics
hydroxychloroquine sulfate,D02114,hydroxychloroquine,Antiprotozoals,Antiparasitics
mefloquine,D04895,mefloquine,Antiprotozoals,Antiparasitics
mefloquine hydrochloride,D00831,mefloquine,Antiprotozoals,Antiparasitics
primaquine,D08420,primaquine,Antiprotozoals,Antiparasitics
primaquine phosphate,D02126,primaquine,Antiprotozoals,Antiparasitics
pyrimethamine,D00488,pyrimethamine,Antiprotozoals,Antiparasitics
pyrimethamine - sulfadoxine mixt,D02448,pyrimethamine,Antiprotozoals,Antiparasitics
quinine,D08460,quinine,Antiprotozoals,Antiparasitics
quinine ethylcarbonate,D01663,quinine,Antiprotozoals,Antiparasitics
quinine hydrochloride hydrate,D02261,quinine,Antiprotozoals,Antiparasitics
quinine sulfate,D02262,quinine,Antiprotozoals,Antiparasitics
quinine ascorbate,D05681,quinine,Antiprotozoals,Antiparasitics
quinine dihydrochloride,D08461,quinine,Antiprotozoals,Antiparasitics
atovaquone,D00236,atovaquone,Antiprotozoals,Antiparasitics
nitazoxanide,D02486,nitazoxanide,Antiprotozoals,Antiparasitics
pentamidine,D08333,pentamidine,Antiprotozoals,Antiparasitics
pentamidine isethionate,D00834,pentamidine,Antiprotozoals,Antiparasitics
benzyl alcohol,D00077,benzyl alcohol,Pediculicides/Scabicides,Antiparasitics
crotamiton,D01381,crotamiton,Pediculicides/Scabicides,Antiparasitics
lindane,D00360,lindane,Pediculicides/Scabicides,Antiparasitics
malathion,D00534,malathion,Pediculicides/Scabicides,Antiparasitics
permethrin,D05443,permethrin,Pediculicides/Scabicides,Antiparasitics
spinosad,D09384,spinosad,Pediculicides/Scabicides,Antiparasitics
benzatropine,D07511,benztropine,Anticholinergics,Antiparkinson Agents
benztropine mesylate,D00778,benztropine,Anticholinergics,Antiparkinson Agents
diphenhydramine,D00300,diphenhydramine,Anticholinergics,Antiparkinson Agents
diphenhydramine hydrochloride,D00669,diphenhydramine,Anticholinergics,Antiparkinson Agents
diphenhydramine salicylate,D02419,diphenhydramine,Anticholinergics,Antiparkinson Agents
diphenhydramine tannate,D03285,diphenhydramine,Anticholinergics,Antiparkinson Agents
diphenhydramine laurylsulfate,D03360,diphenhydramine,Anticholinergics,Antiparkinson Agents
diphenhydramine citrate,D03854,diphenhydramine,Anticholinergics,Antiparkinson Agents
trihexyphenidyl,D08638,trihexyphenidyl,Anticholinergics,Antiparkinson Agents
trihexyphenidyl hydrochloride,D00787,trihexyphenidyl,Anticholinergics,Antiparkinson Agents
apomorphine,D07460,apomorphine,Dopamine Agonists,Antiparkinson Agents
apomorphine hydrochloride,D02004,apomorphine,Dopamine Agonists,Antiparkinson Agents
bromocriptine,D03165,bromocriptine,Dopamine Agonists,Antiparkinson Agents
bromocriptine mesylate,D00780,bromocriptine,Dopamine Agonists,Antiparkinson Agents
pramipexole,D05575,pramipexole,Dopamine Agonists,Antiparkinson Agents
pramipexole hydrochloride,D00559,pramipexole,Dopamine Agonists,Antiparkinson Agents
ropinirole,D08489,ropinirole,Dopamine Agonists,Antiparkinson Agents
ropinirole hydrochloride,D00784,ropinirole,Dopamine Agonists,Antiparkinson Agents
rotigotine,D05768,rotigotine,Dopamine Agonists,Antiparkinson Agents
carbidopa,D00558,carbidopa,Dopamine Precursors/L-Amino Acid Decarboxylase Inhibitors,Antiparkinson Agents
carbidopa hydrate - levodopa mixt,D00253,carbidopa and levodopa,Dopamine Precursors/L-Amino Acid Decarboxylase Inhibitors,Antiparkinson Agents
rasagiline,D08469,rasagiline,Monoamine Oxidase B (MAO-B) Inhibitors,Antiparkinson Agents
rasagiline mesylate,D02562,rasagiline,Monoamine Oxidase B (MAO-B) Inhibitors,Antiparkinson Agents
selegiline,D03731,selegiline,Monoamine Oxidase B (MAO-B) Inhibitors,Antiparkinson Agents
selegiline hydrochloride,D00785,selegiline,Monoamine Oxidase B (MAO-B) Inhibitors,Antiparkinson Agents
entacapone,D00781,entacapone,"Antiparkinson Agents, Other",Antiparkinson Agents
tolcapone,D00786,tolcapone,"Antiparkinson Agents, Other",Antiparkinson Agents
amantadine,D07441,amantadine,"Antiparkinson Agents, Other",Antiparkinson Agents
amantadine hydrochloride,D00777,amantadine,"Antiparkinson Agents, Other",Antiparkinson Agents
chlorpromazine,D00270,chlorpromazine,1st Generation/Typical,Antipsychotics
chlorpromazine hydrochloride,D00789,chlorpromazine,1st Generation/Typical,Antipsychotics
chlorpromazine hibenzate,D03274,chlorpromazine,1st Generation/Typical,Antipsychotics
chlorpromazine phenolphthalinate,D04034,chlorpromazine,1st Generation/Typical,Antipsychotics
chlorpromazine tannate,D09819,chlorpromazine,1st Generation/Typical,Antipsychotics
fluphenazine,D07977,fluphenazine,1st Generation/Typical,Antipsychotics
fluphenazine hydrochloride,D00791,fluphenazine,1st Generation/Typical,Antipsychotics
fluphenazine enanthate,D00792,fluphenazine,1st Generation/Typical,Antipsychotics
fluphenazine decanoate,D00793,fluphenazine,1st Generation/Typical,Antipsychotics
fluphenazine maleate,D02163,fluphenazine,1st Generation/Typical,Antipsychotics
haloperidol,D00136,haloperidol,1st Generation/Typical,Antipsychotics
haloperidol decanoate,D01898,haloperidol,1st Generation/Typical,Antipsychotics
haloperidol lactate,D08035,haloperidol,1st Generation/Typical,Antipsychotics
loxapine,D02340,loxapine,1st Generation/Typical,Antipsychotics
loxapine succinate,D00794,loxapine,1st Generation/Typical,Antipsychotics
loxapine hydrochloride,D08148,loxapine,1st Generation/Typical,Antipsychotics
perphenazine,D00503,perphenazine,1st Generation/Typical,Antipsychotics
perphenazine maleate,D02037,perphenazine,1st Generation/Typical,Antipsychotics
perphenazine fendizoate,D04038,perphenazine,1st Generation/Typical,Antipsychotics
perphenazine hydrochloride,D04965,perphenazine,1st Generation/Typical,Antipsychotics
perphenazine decanoate,D08341,perphenazine,1st Generation/Typical,Antipsychotics
perphenazine enantate,D08342,perphenazine,1st Generation/Typical,Antipsychotics
pimozide,D00560,pimozide,1st Generation/Typical,Antipsychotics
prochlorperazine,D00493,prochlorperazine,1st Generation/Typical,Antipsychotics
prochlorperazine maleate,D00479,prochlorperazine,1st Generation/Typical,Antipsychotics
prochlorperazine mesilate,D02022,prochlorperazine,1st Generation/Typical,Antipsychotics
prochlorperazine edisylate,D02609,prochlorperazine,1st Generation/Typical,Antipsychotics
thioridazine,D00373,thioridazine,1st Generation/Typical,Antipsychotics
thioridazine hydrochloride,D00798,thioridazine,1st Generation/Typical,Antipsychotics
thiothixene,D00374,thiothixene,1st Generation/Typical,Antipsychotics
thiothixene hydrochloride,D02612,thiothixene,1st Generation/Typical,Antipsychotics
trifluoperazine,D08636,trifluoperazine,1st Generation/Typical,Antipsychotics
trifluoperazine hydrochloride,D00799,trifluoperazine,1st Generation/Typical,Antipsychotics
trifluoperazine maleate,D01448,trifluoperazine,1st Generation/Typical,Antipsychotics
aripiprazole,D01164,aripiprazole,2nd Generation/Atypical,Antipsychotics
aripiprazole cavoxil,D10355,aripiprazole,2nd Generation/Atypical,Antipsychotics
aripiprazole lauroxil,D10364,aripiprazole,2nd Generation/Atypical,Antipsychotics
aripiprazole hydrate,D10516,aripiprazole,2nd Generation/Atypical,Antipsychotics
asenapine maleate,D02995,asenapine,2nd Generation/Atypical,Antipsychotics
iloperidone,D02666,iloperidone,2nd Generation/Atypical,Antipsychotics
lurasidone hydrochloride,D04820,lurasidone,2nd Generation/Atypical,Antipsychotics
olanzapine,D00454,olanzapine,2nd Generation/Atypical,Antipsychotics
olanzapine pamoate,D06623,olanzapine,2nd Generation/Atypical,Antipsychotics
quetiapine,D08456,quetiapine,2nd Generation/Atypical,Antipsychotics
quetiapine fumarate,D00458,quetiapine,2nd Generation/Atypical,Antipsychotics
paliperidone,D05339,paliperidone,2nd Generation/Atypical,Antipsychotics
paliperidone palmitate,D05340,paliperidone,2nd Generation/Atypical,Antipsychotics
risperidone,D00426,risperidone,2nd Generation/Atypical,Antipsychotics
ziprasidone,D08687,ziprasidone,2nd Generation/Atypical,Antipsychotics
ziprasidone hydrochloride,D01939,ziprasidone,2nd Generation/Atypical,Antipsychotics
ziprasidone mesylate,D02100,ziprasidone,2nd Generation/Atypical,Antipsychotics
clozapine,D00283,clozapine,Treatment-Resistant,Antipsychotics
cidofovir,D00273,cidofovir,Anti-cytomegalovirus (CMV) Agents,Antivirals
foscarnet sodium,D00579,foscarnet,Anti-cytomegalovirus (CMV) Agents,Antivirals
foscarnet sodium hydrate,D02267,foscarnet,Anti-cytomegalovirus (CMV) Agents,Antivirals
ganciclovir,D00333,ganciclovir,Anti-cytomegalovirus (CMV) Agents,Antivirals
ganciclovir sodium,D04301,ganciclovir,Anti-cytomegalovirus (CMV) Agents,Antivirals
valganciclovir,D02495,valganciclovir,Anti-cytomegalovirus (CMV) Agents,Antivirals
valganciclovir hydrochloride,D03256,valganciclovir,Anti-cytomegalovirus (CMV) Agents,Antivirals
adefovir,D02768,adefovir,Anti-hepatitis B (HBV) Agents,Antivirals
adefovir dipivoxil,D01655,adefovir,Anti-hepatitis B (HBV) Agents,Antivirals
entecavir,D07896,entecavir,Anti-hepatitis B (HBV) Agents,Antivirals
entecavir,D04008,entecavir,Anti-hepatitis B (HBV) Agents,Antivirals
lamivudine,D00353,lamivudine,Anti-hepatitis B (HBV) Agents,Antivirals
ribavirin,D00423,ribavirin,Anti-hepatitis B (HBV) Agents,Antivirals
telbivudine,D06675,telbivudine,Anti-hepatitis B (HBV) Agents,Antivirals
tenofovir,D06074,tenofovir,Anti-hepatitis B (HBV) Agents,Antivirals
tenofovir disoproxil fumarate,D01982,tenofovir,Anti-hepatitis B (HBV) Agents,Antivirals
tenofovir alafenamide,D10428,tenofovir,Anti-hepatitis B (HBV) Agents,Antivirals
tenofovir alafenamide fumarate,D10605,tenofovir,Anti-hepatitis B (HBV) Agents,Antivirals
interferon alfa-2b,D02745,"interferon alfa-2b, recombinant",Anti-hepatitis B (HBV) Agents,Antivirals
interferon alfa-n3,D04553,interferon alfa-n3,Anti-hepatitis B (HBV) Agents,Antivirals
peginterferon alfa-2a,D02747,peginterferon alfa-2a,Anti-hepatitis B (HBV) Agents,Antivirals
peginterferon alfa-2b,D02748,peginterferon alfa-2b,Anti-hepatitis B (HBV) Agents,Antivirals
ribavirin,D00423,ribavirin,Anti-hepatitis C (HCV) Agents,Antivirals
interferon alfa-2b,D02745,"interferon alfa-2b, recombinant",Anti-hepatitis C (HCV) Agents,Antivirals
interferon alfa-n3,D04553,interferon alfa-n3,Anti-hepatitis C (HCV) Agents,Antivirals
interferon alfacon-1,D02744,interferon alfacon-1,Anti-hepatitis C (HCV) Agents,Antivirals
peginterferon alfa-2a,D02747,peginterferon alfa-2a,Anti-hepatitis C (HCV) Agents,Antivirals
peginterferon alfa-2b,D02748,peginterferon alfa-2b,Anti-hepatitis C (HCV) Agents,Antivirals
boceprevir,D08876,boceprevir,Anti-hepatitis C (HCV) Agents,Antivirals
simeprevir,D10081,simeprevir,Anti-hepatitis C (HCV) Agents,Antivirals
simeprevir sodium,D10469,simeprevir,Anti-hepatitis C (HCV) Agents,Antivirals
telaprevir,D09012,telaprevir,Anti-hepatitis C (HCV) Agents,Antivirals
sofosbuvir,D10366,sofosbuvir,Anti-hepatitis C (HCV) Agents,Antivirals
acyclovir,D00222,acyclovir,Antiherpetic Agents,Antivirals
acyclovir sodium,D02764,acyclovir,Antiherpetic Agents,Antivirals
famciclovir,D00317,famciclovir,Antiherpetic Agents,Antivirals
foscarnet sodium,D00579,foscarnet,Antiherpetic Agents,Antivirals
foscarnet sodium hydrate,D02267,foscarnet,Antiherpetic Agents,Antivirals
idoxuridine,D00342,idoxuridine,Antiherpetic Agents,Antivirals
trifluridine,D00391,trifluridine,Antiherpetic Agents,Antivirals
penciclovir,D05407,penciclovir,Antiherpetic Agents,Antivirals
penciclovir sodium,D02124,penciclovir,Antiherpetic Agents,Antivirals
valaciclovir,D08664,valacyclovir,Antiherpetic Agents,Antivirals
valacyclovir hydrochloride,D00398,valacyclovir,Antiherpetic Agents,Antivirals
delavirdine,D07782,delavirdine,"Anti-HIV Agents, Non-nucleoside Reverse Transcriptase Inhibitors (NNRTI)",Antivirals
delavirdine mesylate,D00895,delavirdine,"Anti-HIV Agents, Non-nucleoside Reverse Transcriptase Inhibitors (NNRTI)",Antivirals
efavirenz,D00896,efavirenz,"Anti-HIV Agents, Non-nucleoside Reverse Transcriptase Inhibitors (NNRTI)",Antivirals
etravirine,D04112,etravirine,"Anti-HIV Agents, Non-nucleoside Reverse Transcriptase Inhibitors (NNRTI)",Antivirals
nevirapine,D00435,nevirapine,"Anti-HIV Agents, Non-nucleoside Reverse Transcriptase Inhibitors (NNRTI)",Antivirals
rilpivirine,D09720,rilpivirine,"Anti-HIV Agents, Non-nucleoside Reverse Transcriptase Inhibitors (NNRTI)",Antivirals
rilpivirine hydrochloride,D09958,rilpivirine,"Anti-HIV Agents, Non-nucleoside Reverse Transcriptase Inhibitors (NNRTI)",Antivirals
abacavir,D07057,abacavir,"Anti-HIV Agents, Nucleoside and Nucleotide Reverse Transcriptase Inhibitors (NRTI)v",Antivirals
abacavir sulfate,D00891,abacavir,"Anti-HIV Agents, Nucleoside and Nucleotide Reverse Transcriptase Inhibitors (NRTI)v",Antivirals
abacavir succinate,D02734,abacavir,"Anti-HIV Agents, Nucleoside and Nucleotide Reverse Transcriptase Inhibitors (NRTI)v",Antivirals
abacavir sulfate - lamivudine mixt,D08775,abacavir and lamivudine,"Anti-HIV Agents, Nucleoside and Nucleotide Reverse Transcriptase Inhibitors (NRTI)v",Antivirals
didanosine,D00296,didanosine,"Anti-HIV Agents, Nucleoside and Nucleotide Reverse Transcriptase Inhibitors (NRTI)v",Antivirals
emtricitabine,D01199,emtricitabine,"Anti-HIV Agents, Nucleoside and Nucleotide Reverse Transcriptase Inhibitors (NRTI)v",Antivirals
emtricitabine - tenofovir disoproxil mixt,D02297,emtricitabine and tenofovir,"Anti-HIV Agents, Nucleoside and Nucleotide Reverse Transcriptase Inhibitors (NRTI)v",Antivirals
lamivudine,D00353,lamivudine,"Anti-HIV Agents, Nucleoside and Nucleotide Reverse Transcriptase Inhibitors (NRTI)v",Antivirals
zidovudine - lamivudine mixt,D07507,lamivudine and zidovudine,"Anti-HIV Agents, Nucleoside and Nucleotide Reverse Transcriptase Inhibitors (NRTI)v",Antivirals
stavudine,D00445,stavudine,"Anti-HIV Agents, Nucleoside and Nucleotide Reverse Transcriptase Inhibitors (NRTI)v",Antivirals
tenofovir,D06074,tenofovir,"Anti-HIV Agents, Nucleoside and Nucleotide Reverse Transcriptase Inhibitors (NRTI)v",Antivirals
tenofovir disoproxil fumarate,D01982,tenofovir,"Anti-HIV Agents, Nucleoside and Nucleotide Reverse Transcriptase Inhibitors (NRTI)v",Antivirals
tenofovir alafenamide,D10428,tenofovir,"Anti-HIV Agents, Nucleoside and Nucleotide Reverse Transcriptase Inhibitors (NRTI)v",Antivirals
tenofovir alafenamide fumarate,D10605,tenofovir,"Anti-HIV Agents, Nucleoside and Nucleotide Reverse Transcriptase Inhibitors (NRTI)v",Antivirals
zidovudine,D00413,zidovudine,"Anti-HIV Agents, Nucleoside and Nucleotide Reverse Transcriptase Inhibitors (NRTI)v",Antivirals
atazanavir,D07471,atazanavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
atazanavir sulfate,D01276,atazanavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
darunavir,D03656,darunavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
darunavir ethanolate,D06478,darunavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
fosamprenavir,D02497,fosamprenavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
fosamprenavir calcium hydrate,D02867,fosamprenavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
fosamprenavir calcium,D03835,fosamprenavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
fosamprenavir sodium,D03837,fosamprenavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
indinavir,D03833,indinavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
indinavir sulfate,D00897,indinavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
indinavir sulfate ethanolate,D02861,indinavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
lopinavir mixture with ritonavir,D02498,lopinavir and ritonavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
nelfinavir,D08259,nelfinavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
nelfinavir mesylate,D00899,nelfinavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
ritonavir,D00427,ritonavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
saquinavir,D00429,saquinavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
saquinavir mesylate,D01160,saquinavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
tipranavir,D08605,tipranavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
tipranavir disodium,D03843,tipranavir,"Anti-HIV Agents, Protease Inhibitors",Antivirals
dolutegravir,D10066,dolutegravir,"Anti-HIV Agents, Integrase Inhibitors (INSTI)",Antivirals
dolutegravir sodium,D10113,dolutegravir,"Anti-HIV Agents, Integrase Inhibitors (INSTI)",Antivirals
raltegravir,D06676,raltegravir,"Anti-HIV Agents, Integrase Inhibitors (INSTI)",Antivirals
raltegravir potassium,D07133,raltegravir,"Anti-HIV Agents, Integrase Inhibitors (INSTI)",Antivirals
enfuvirtide,D02499,enfuvirtide,"Anti-HIV Agents, Other",Antivirals
maraviroc,D06670,maraviroc,"Anti-HIV Agents, Other",Antivirals
raltegravir,D06676,raltegravir,"Anti-HIV Agents, Other",Antivirals
raltegravir potassium,D07133,raltegravir,"Anti-HIV Agents, Other",Antivirals
amantadine,D07441,amantadine,Anti-influenza Agents,Antivirals
amantadine hydrochloride,D00777,amantadine,Anti-influenza Agents,Antivirals
oseltamivir,D08306,oseltamivir,Anti-influenza Agents,Antivirals
oseltamivir phosphate,D00900,oseltamivir,Anti-influenza Agents,Antivirals
rimantadine,D08483,rimantadine,Anti-influenza Agents,Antivirals
rimantadine hydrochloride,D00901,rimantadine,Anti-influenza Agents,Antivirals
zanamivir,D00902,zanamivir,Anti-influenza Agents,Antivirals
zanamivir hydrate,D01937,zanamivir,Anti-influenza Agents,Antivirals
duloxetine,D07880,duloxetine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Anxiolytics
duloxetine hydrochloride,D01179,duloxetine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Anxiolytics
escitalopram,D07913,escitalopram,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Anxiolytics
escitalopram oxalate,D02567,escitalopram,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Anxiolytics
paroxetine,D02362,paroxetine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Anxiolytics
paroxetine hydrochloride hydrate,D02260,paroxetine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Anxiolytics
paroxetine hydrochloride,D05374,paroxetine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Anxiolytics
paroxetine mesylate,D05375,paroxetine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Anxiolytics
sertraline,D02360,sertraline,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Anxiolytics
sertraline hydrochloride,D00825,sertraline,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Anxiolytics
venlafaxine,D08670,venlafaxine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Anxiolytics
venlafaxine hydrochloride,D00821,venlafaxine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Anxiolytics
alprazolam,D00225,alprazolam,Benzodiazepines,Anxiolytics
chlordiazepoxide,D00267,chlordiazepoxide,Benzodiazepines,Anxiolytics
chlordiazepoxide hydrochloride,D00693,chlordiazepoxide,Benzodiazepines,Anxiolytics
clonazepam,D00280,clonazepam,Benzodiazepines,Anxiolytics
clorazepate dipotassium,D00694,clorazepate,Benzodiazepines,Anxiolytics
clorazepate monopotassium,D03562,clorazepate,Benzodiazepines,Anxiolytics
diazepam,D00293,diazepam,Benzodiazepines,Anxiolytics
lorazepam,D00365,lorazepam,Benzodiazepines,Anxiolytics
oxazepam,D00464,oxazepam,Benzodiazepines,Anxiolytics
buspirone,D07593,buspirone,"Anxiolytics, Other",Anxiolytics
buspirone hydrochloride,D00702,buspirone,"Anxiolytics, Other",Anxiolytics
doxepin,D07875,doxepin,"Anxiolytics, Other",Anxiolytics
doxepin hydrochloride,D00814,doxepin,"Anxiolytics, Other",Anxiolytics
hydroxyzine,D08054,hydroxyzine,"Anxiolytics, Other",Anxiolytics
hydroxyzine hydrochloride,D00672,hydroxyzine,"Anxiolytics, Other",Anxiolytics
hydroxyzine pamoate,D01096,hydroxyzine,"Anxiolytics, Other",Anxiolytics
meprobamate,D00376,meprobamate,"Anxiolytics, Other",Anxiolytics
carbamazepine,D00252,carbamazepine,Mood Stabilizers,Bipolar Agents
divalproex sodium,D00304,divalproex,Mood Stabilizers,Bipolar Agents
lamotrigine,D00354,lamotrigine,Mood Stabilizers,Bipolar Agents
lithium,D08133,lithium,Mood Stabilizers,Bipolar Agents
lithium carbonate,D00801,lithium,Mood Stabilizers,Bipolar Agents
lithium citrate,D04749,lithium,Mood Stabilizers,Bipolar Agents
lithium hydroxide,D04750,lithium,Mood Stabilizers,Bipolar Agents
lithium acetate,D08134,lithium,Mood Stabilizers,Bipolar Agents
lithium bromide,D08135,lithium,Mood Stabilizers,Bipolar Agents
lithium gluconate,D08136,lithium,Mood Stabilizers,Bipolar Agents
lithium sulfate,D08137,lithium,Mood Stabilizers,Bipolar Agents
valproic acid,D00399,valproate,Mood Stabilizers,Bipolar Agents
divalproex sodium,D00304,valproate,Mood Stabilizers,Bipolar Agents
valproate sodium,D00710,valproate,Mood Stabilizers,Bipolar Agents
calcium valproate,D08667,valproate,Mood Stabilizers,Bipolar Agents
aripiprazole,D01164,aripiprazole,"Bipolar Agents, Other",Bipolar Agents
aripiprazole cavoxil,D10355,aripiprazole,"Bipolar Agents, Other",Bipolar Agents
aripiprazole lauroxil,D10364,aripiprazole,"Bipolar Agents, Other",Bipolar Agents
aripiprazole hydrate,D10516,aripiprazole,"Bipolar Agents, Other",Bipolar Agents
asenapine maleate,D02995,asenapine,"Bipolar Agents, Other",Bipolar Agents
olanzapine,D00454,olanzapine,"Bipolar Agents, Other",Bipolar Agents
olanzapine pamoate,D06623,olanzapine,"Bipolar Agents, Other",Bipolar Agents
quetiapine,D08456,quetiapine,"Bipolar Agents, Other",Bipolar Agents
quetiapine fumarate,D00458,quetiapine,"Bipolar Agents, Other",Bipolar Agents
risperidone,D00426,risperidone,"Bipolar Agents, Other",Bipolar Agents
ziprasidone,D08687,ziprasidone,"Bipolar Agents, Other",Bipolar Agents
ziprasidone hydrochloride,D01939,ziprasidone,"Bipolar Agents, Other",Bipolar Agents
ziprasidone mesylate,D02100,ziprasidone,"Bipolar Agents, Other",Bipolar Agents
acarbose,D00216,acarbose,Antidiabetic Agents,Blood Glucose Regulators
miglitol,D00625,miglitol,Antidiabetic Agents,Blood Glucose Regulators
pramlintide,D05594,pramlintide,Antidiabetic Agents,Blood Glucose Regulators
pramlintide acetate,D05595,pramlintide,Antidiabetic Agents,Blood Glucose Regulators
